Code,Title,Points1_2019,Points2_2019,Points1_2020,Points2_2020,Points1_2021,Points2_2021
CK111,Early Years and Childhood Studies,398,429,419,451,409   ,403
CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),324,470,330,434,371  ,
CK113,Criminology - 3 years or 4 years (International Pathway),408,430,423,463,464   ,463
CK114,Social Science (Youth and Community Work) - 3 years,,,777,,     ,
CK115,Social Work - Mature Applicants only,,,999,,      ,
CK116,Sports Studies and Physical Education,499,520,,,,
CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),307,361,336,378,347   ,339
CK120,Applied Psychology                                 ,506,532,531,555,544   ,543
CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),393,466,466,496,499   ,488
CK122,Government and Political Science,355,410,326,403,399   ,
CK123,Anthropology,,,308,410,308   ,
CK124,Education - Gaeilge                                ,,,452,495,473   ,
CK125,Sports Studies and Physical Education              ,,,509,532,564   ,555
CK201,Commerce                                           ,465,489,477,509,500   ,499
CK202,Accounting,467,506,509,542,553   ,543
CK203,Business Information Systems,409,444,430,467,455   ,452
CK204,Finance                                            ,531,555,556,590,566  ,566
CK205,Commerce (International) with French               ,409,473,445,495,465   ,
CK206,Commerce (International) with German,408,446,418,476,466   ,455
CK207,Commerce (International) with Italian,408,425,388,455,423   ,418
CK208,Commerce (International) with Hispanic Studies,431,455,402,484,488   ,486
CK209,Commerce (International) with Irish,509,528,484,531,507   ,
CK211,Commerce (International) with Chinese Studies,398,420,397,433,385   ,
CK212,Economics (Transformational Learning) - 3 or 4 years (Int`l Pathway),400,429,444,473,445   ,444
CK213,Food Marketing and Entrepreneurship,,,462,476,466   ,
CK214,International Development,,,346,422,332   ,
CK301,Law (Pathways) -  3 or 4 years                     ,476,519,498,531,533   ,532
CK302,Law and French,453,531,542,576,545   ,
CK304,Law and Irish,462,510,540,565,588   ,
CK307,Law and Business,522,554,556,589,589  ,589
CK401,Computer Science,402,456,468,509,503   ,495
CK402,Biological and Chemical Sciences,498,520,509,532,555  ,555
CK404,"Biological, Earth and Environmental Sciences",412,451,465,498,500   ,495
CK405,Genetics                                           ,476,496,487,498,543   ,
CK406,Chemical Sciences                                  ,457,488,462,494,532   ,
CK407,Mathematical Sciences,531,578,565,601,566   ,
CK408,Physics and Astrophysics                           ,511,566,531,589,566   ,
CK409,Industrial Physics (offered jointly by UCC and CIT),413,532,432,499,465   ,
CK411,Data Science and Analytics,509,542,509,554,531   ,
CK412,Agricultural Science,457,509,489,510,506   ,
CK502,Food Marketing and Entrepreneurship,433,456,,,,
CK504,Nutritional Sciences,492,509,517,554,555   ,554
CK505,Food Science                                       ,444,477,420,465,463   ,
CK506,International Development and Food Policy,367,410,,,,
CK600,Engineering,465,532,487,532,510   ,509
CK606,Architecture - Offered jointly by UCC and CIT,465,496,469,510,543   ,
CK701,Medicine (Undergraduate Entry - HPAT required),729,740,731,739,738  ,737
CK702,Dentistry                                          ,590,613,613,613,625  ,625
CK703,Pharmacy,577,589,589,602,613  ,613
CK704,Occupational Therapy,532,554,555,577,601  ,
CK705,Speech and Language Therapy                        ,509,529,520,541,568   ,566
CK706,Public Health Sciences,419,451,454,477,500   ,
CK707,Medical and Health Sciences,510,543,541,555,578  ,
CK710,General Nursing,440,466,454,477,498  ,497
CK712,Children`s and General Nursing (Integrated),499,520,533,553,565   ,
CK720,Mental Health Nursing                              ,398,429,419,440,455   ,452
CK730,Intellectual Disability Nursing                    ,359,388,400,433,431   ,
CK740,Midwifery,444,474,473,507,509  ,
CK791,Medicine  - Graduate Entry (GAMSAT required)       ,58,59,57,58,60  ,60
CM001,Education - Primary Teaching,452,462,484,487,508   ,
CM002,Education - Primary Teaching - Gaeltacht Applicants,421,440,,,462  ,
CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,491,506,528,570,513  ,
CM004,Oideachas - Bunmh�inteoireacht Tr� Mhe�n na Gaeilg ,492,569,494,513,480  ,
CM010,Education Studies                                  ,317,373,317,407,382   ,327
CM020,Early Childhood Education                          ,336,363,327,390,317   ,
CR105,Chemical and Biopharmaceutical Engineering,432,498,443,532,443   ,
CR106,Software Development                               ,351,393,411,463,431   ,
CR108,Mechanical Engineering,425,487,434,509,434   ,
CR109,Structural Engineering,341,467,394,423,396   ,
CR110,Automotive Business Management and Technology,318,347,311,362,336   ,
CR112,Creative Digital Media at CIT Crawford College of  ,335,389,361,430,390   ,
CR116,Computer Systems                                   ,318,381,332,393,365   ,
CR121,Music at CIT Cork School of Music,633,1052,912,1078,904  ,904
CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,972,1021,1088,1088,1028 ,
CR126,Popular Music: Drums at CIT Cork School of Music,878,1043,801,940,,
CR127,Popular Music: Electric Guitar at CIT Cork School of Music,584,761,768,978,,
CR128,Popular Music: Keyboards at CIT Cork School of Music,839,1009,840,881,,
CR129,Popular Music: Voice at CIT Cork School of Music,857,927,841,966,,
CR130,Musical Theatre,500,600,505,600,525  ,
CR150,Business Information Systems                       ,326,371,335,391,350   ,
CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",979,979,,,450  ,
CR220,Fine Art at CIT Crawford College of Art and Design ,620,819,,,400  ,
CR225,Photography with New Media at CIT Crawford College ,920,920,,,435  ,
CR305,Physical Sciences (Common Entry)                   ,279,309,282,356,260   ,
CR310,IT Management,282,317,297,339,347   ,
CR320,Biomedical Science - Offered jointly by CIT and UCC,546,556,565,577,590  ,
CR325,Pharmaceutical Biotechnology,388,422,398,440,466   ,
CR333,Nutrition and Health Science,360,393,402,433,425   ,
CR335,Biological Sciences (Common Entry),381,419,420,451,473   ,
CR340,Analytical Chemistry with Quality Assurance,288,315,251,366,327   ,
CR360,Instrument Engineering,291,329,261,388,301   ,
CR365,Environmental Science and Sustainable Technology,334,362,253,341,262   ,
CR370,Agri-Biosciences,408,431,397,453,368   ,
CR400,Accounting,316,389,316,413,315   ,
CR420,Marketing                                          ,288,329,285,346,290   ,
CR425,International Business with Language               ,300,392,298,412,279   ,
CR430,Sport and Exercise Management,,,322,407,402   ,
CR435,Coaching Science and Sports Pedagogy               ,,,,,410   ,
CR440,Montessori Education                               ,,,288,362,409   ,408
CR500,Engineering (Common Entry),381,424,411,465,475   ,
CR510,Sustainable Energy Engineering,319,343,320,389,320   ,
CR520,Biomedical Engineering                             ,434,477,444,488,444   ,
CR560,Architectural Technology,288,332,308,377,375   ,
CR565,Interior Architecture,336,390,359,423,431   ,
CR570,Quantity Surveying,279,342,336,392,375   ,
CR572,Construction Management,253,300,269,318,300   ,
CR580,Electrical Engineering,344,374,318,377,342   ,
CR590,Electronic Engineering,342,411,303,379,329   ,
CR600,Visual Communications at CIT Crawford College of A ,587,888,,,280  ,
CR660,Tourism Management,249,290,252,325,246   ,
CR700,Theatre and Drama Studies at CIT Cork School of Mu ,768,906,645,982,609  ,609
CR930,Home Economics and Business                        ,,,,,518  ,
CT125,Information Technology,235,280,220,299,242   ,242
CT325,Business                                           ,,,281,338,253   ,253
CW018,"Business (options, Wexford)",327,349,248,312,307   ,
CW028,Early Childhood Education and Care (Wexford),252,308,252,301,260   ,
CW038,Art (portfolio),700,700,700,700,700  ,
CW058,Tourism and Event Management                       ,252,262,298,348,292   ,
CW068,Applied Social Studies - Professional Social Care (Wexford),251,280,245,292,250   ,
CW078,Sustainable Farm Management and Agribusiness       ,266,320,269,327,270   ,
CW088,Visual Communications and Design                   ,309,345,274,340,270   ,
CW108,Science (options)                                  ,261,326,261,346,266   ,
CW128,Brewing and Distilling,271,298,263,318,307   ,
CW138,Sport and Exercise Science                         ,,,423,444,430   ,423
CW148,Strength and Conditioning,,,379,400,388   ,
CW178,Sport Science (options),399,424,,,,
CW188,Sport Rehabilitation and Athletic Therapy,454,473,448,466,451   ,
CW208,Computer Games Development,281,338,279,327,272   ,
CW238,Software Development,300,343,297,341,295   ,
CW248,Information Technology Management,307,357,285,385,293   ,
CW258,Cybercrime and IT Security,300,328,293,358,292   ,
CW268,Computing in Interactive Digital Art and Design,274,321,287,369,291   ,
CW438,Construction (options)                             ,271,308,272,336,260   ,251
CW468,Architectural Technology,252,290,262,358,291   ,283
CW478,Civil Engineering                                  ,348,383,433,492,465   ,
CW548,Mechanical Engineering,310,351,321,371,330   ,328
CW558,Electronic Systems,279,338,280,361,280   ,
CW568,Aerospace Engineering,366,422,380,442,371   ,359
CW578,TV and Media Production,327,361,325,420,318   ,
CW708,Law - LLB                                          ,298,328,302,349,292   ,
CW728,Product Design Innovation                          ,286,355,252,359,246   ,
CW748,Early Childhood Education and Care,265,338,270,327,290   ,
CW758,Professional Social Care Practice,290,319,336,358,360   ,358
CW808,Media and Public Relations,248,307,251,298,247   ,
CW848,Digital Marketing with Analytics,279,307,269,326,269   ,
CW858,"Sports Management and Coaching (options, portfolio)",700,700,700,700,700  ,
CW908,Business (options),260,307,280,357,272   ,
CW938,Business with Law,270,288,283,301,270   ,
CW948,Accounting,301,408,300,364,319   ,
DB500,Computing                                          ,242,320,218,301,234   ,234
DB501,Computing (Cloud Computing),326,329,227,280,      ,178
DB502,Computing (Data Analytics and Big Data),269,269,334,377,267   ,233
DB503,Computing (Software Development)                   ,242,282,225,281,      ,
DB504,Computing (Web and Mobile Technology)              ,227,269,281,281,      ,
DB510,Audio Production and Music Project Management      ,233,293,223,290,217   ,217
DB512,Business Studies,229,301,203,308,243   ,210
DB514,Business Studies (Law),269,337,251,270,239   ,225
DB515,Business Studies (Human Resource Management),225,288,244,326,242   ,217
DB516,Financial Services,328,336,,,,
DB517,Marketing (Event Management),226,327,238,309,233   ,225
DB518,Marketing (Digital Media)                          ,210,289,,,307   ,209
DB521,Accounting and Finance                             ,225,271,195,318,243   ,228
DB524,Business (Information Systems)                     ,402,402,309,409,247   ,239
DB525,Marketing (Digital Media and Cloud Computing)      ,284,309,,,288   ,288
DB526,Business Information Systems (Cloud Computing),253,288,347,423,244   ,244
DB527,Applied Social Care,235,288,234,306,254   ,219
DB531,Marketing,220,288,293,336,288   ,176
DB562,Psychology                                         ,208,310,229,322,244   ,233
DB566,Social Science                                     ,216,308,220,290,262   ,228
DB567,Film and Creative Media                            ,192,295,202,290,245   ,213
DB568,Law,245,308,217,309,254   ,228
DB569,Business (Psychology)                              ,279,338,252,284,240   ,240
DC001,Education - Early Childhood Education,398,424,440,462,445   ,
DC002,Education - Primary Teaching                       ,462,485,488,520,518  ,
DC003,Education - Primary Teaching - Gaeltacht Applicants,433,473,445,462,489  ,
DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),357,,409,463,451  ,
DC005,Education - Primary Teaching - Irish Sign Language,316,316,,,,
DC009,Arts (Joint Honours) - Humanities,347,408,376,423,356   ,
DC010,Post Primary Teacher Education - Religious Education and English,386,413,429,465,384   ,
DC011,Post Primary Teacher Education - Religious Education and History,352,389,391,429,409   ,
DC012,Post Primary Teacher Education - Religious Education and Music,367,415,378,420,409   ,
DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,410,509,419,487,413   ,
DC014,BA in Jazz and Contemporary Music Performance (aud ,428,590,419,605,311  ,
DC110,Business Studies International                     ,440,462,465,488,498   ,
DC111,Business Studies,463,479,488,507,511   ,
DC112,Global Business (France),495,510,510,532,542  ,
DC113,Global Business (Germany)                          ,440,476,462,496,484   ,
DC114,Global Business (Spain),501,543,522,545,544   ,
DC115,Accounting and Finance,487,500,510,544,544   ,
DC116,Global Business (USA),578,589,579,601,613  ,
DC117,Aviation Management / Aviation Management with Pilot Studies,463,487,475,500,484   ,
DC118,Gnó agus Gaeilge / Business and Irish,357,399,359,429,368   ,
DC119,Global Business (Canada)                           ,566,577,564,577,601   ,
DC120,Computing for Business                             ,350,389,357,392,403   ,402
DC121,Computer Applications,370,418,400,455,475   ,
DC123,Data Science                                       ,467,511,465,531,501   ,
DC126,Actuarial Mathematics                              ,520,543,560,578,577  ,
DC127,Common Entry into Actuarial and Financial Mathematics,509,531,520,543,541   ,
DC131,Communication Studies,400,441,402,451,421   ,
DC132,Journalism,401,440,422,466,452   ,
DC133,Multimedia                                         ,403,451,410,451,435   ,
DC155,Applied Language and Translation Studies,371,430,387,444,427   ,
DC161,Analytical Science,446,463,489,510,498   ,
DC162,Chemical and Pharmaceutical Sciences               ,488,498,521,544,531  ,
DC163,Chemical Sciences General Entry (Undenominated Ent ,,,,,466  ,
DC166,Environmental Science and Technology,412,442,399,441,423  ,
DC167,Physics with Astronomy,434,477,,,,
DC168,Genetics and Cell Biology,489,500,510,529,543  ,
DC171,Applied Physics,402,433,,,,
DC173,Physics with Biomedical Sciences,402,458,,,,
DC175,Physics General Entry (options)                    ,,,402,467,400   ,
DC180,Biological Sciences General Entry (Undenominated E ,,,,,530   ,
DC181,Biotechnology,476,488,495,511,530   ,
DC190,Electronic and Computer Engineering (with choice of four majors),391,433,413,465,488   ,
DC193,Mechatronic Engineering,404,445,411,487,490   ,
DC194,Sustainable Systems and Energy                     ,,,,,476   ,
DC195,Mechanical and Manufacturing Engineering,401,444,425,487,500   ,
DC197,Biomedical Engineering,402,446,423,477,510   ,
DC200,Common Entry into Engineering (Undenominated Entry ,381,444,422,487,511   ,510
DC201,Common Entry into Science (Undenominated Entry),454,477,488,499,,
DC202,Sport Science and Health                           ,467,476,498,521,511   ,
DC203,Science Education,424,476,435,487,462   ,
DC204,Athletic Therapy and Training                      ,484,500,519,533,558   ,
DC205,Physical Education with Biology                    ,490,521,531,553,565   ,
DC206,Physical Education with Mathematics,443,476,499,520,521   ,
DC207,Psychology and Mathematics                         ,,,,,521   ,
DC208,Psychology                                         ,509,521,521,533,565   ,
DC209,Health and Society,419,440,440,466,477   ,
DC210,Psychology and Disruptive Technologies             ,,,,,506   ,
DC215,General Nursing,414,443,433,462,456  ,
DC216,Mental Health Nursing                              ,368,389,403,424,420   ,
DC217,Intellectual Disability Nursing,347,362,370,390,382   ,
DC218,Children`s and General Nursing (Integrated),467,480,498,522,521  ,
DC230,"Economics, Politics and Law",400,431,435,462,431   ,
DC231,International Relations,387,445,397,433,398   ,
DC232,Law and Society (BCL),453,487,466,496,469   ,
DC235,Education and Training - Daytime Delivery Mode (full-time),307,327,309,357,302   ,
DC238,Social Sciences and Cultural Innovation,358,388,377,411,387   ,
DC239,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",,,430,473,,
DC240,"Marketing, Innovation and Technology",451,474,474,498,499   ,
DC241,Digital Business and Innovation                    ,,,,,509   ,
DC291,Arts (Joint Honours) - Media Studies,349,392,376,409,350   ,
DC292,Arts (Joint Honours) - Law,356,388,403,430,400   ,
DC293,Arts (Joint Honours) - International Languages     ,369,400,377,466,379   ,
DC294,Climate and Environmental Sustainability           ,,,,,475   ,
DC295,Arts (Joint Honours) - Politics,348,387,376,409,349   ,
DK810,Accounting and Finance,306,391,305,401,307   ,307
DK816,Business Studies                                   ,300,357,300,367,301   ,301
DK820,Computing in Games Development,307,369,311,348,309   ,309
DK821,Computing in Software Development                  ,301,347,302,361,320   ,316
DK822,Augmented and Virtual Reality,,,304,380,320   ,320
DK830,Building Surveying                                 ,302,349,336,352,305   ,
DK831,Architectural Technology                           ,301,366,389,433,368   ,314
DK832,Construction Management,300,329,387,419,358   ,305
DK843,Engineering (Common Entry)                         ,303,402,340,439,404   ,391
DK844,Mechanical Engineering                             ,,,305,448,336   ,336
DK845,Electrical and Electronic Engineering              ,,,304,392,331   ,331
DK846,Civil Engineering                                  ,,,361,392,371   ,371
DK850,International Tourism Management,,,317,377,303   ,303
DK860,Music,499,649,503,634,,
DK861,Arts,300,358,302,363,302   ,302
DK862,Social Care,300,338,301,347,322   ,319
DK863,Creative Media,300,376,308,337,336   ,320
DK864,Film and Television Production,300,332,300,402,308   ,
DK865,Audio and Music Production,301,346,301,367,352   ,
DK870,General Nursing                                    ,392,401,397,419,440  ,440
DK872,Intellectual Disability Nursing,300,317,336,358,367   ,366
DK874,Mental Health Nursing                              ,356,378,356,379,398   ,
DK876,Early Childhood Studies,305,359,321,388,300   ,
DK877,Midwifery                                          ,398,441,440,470,482   ,477
DK880,Health and Physical Activity                       ,300,367,328,389,301   ,
DK882,Agriculture (Award options),303,358,310,380,342   ,
DK883,Science (Award options),300,369,300,370,373   ,368
DK884,Sustainable Agriculture,,,,,348   ,
DK885,Agri-Food Production                               ,,,,,      ,
DK886,Biopharmaceutical Science,,,301,338,379   ,
DK887,Environmental Science,,,330,589,377   ,
DL821,"English, Media and Cultural Studies",211,317,212,347,,
DL822,Arts Management                                    ,209,319,235,337,254   ,
DL823,Business Management                                ,260,316,237,325,220   ,
DL825,Applied Psychology,349,413,379,434,418   ,413
DL826,Visual Communication Design,736,989,855,1024,591  ,
DL827,Art,583,902,572,941,574  ,
DL828,"3D Design, Modelmaking and Digital Art",691,866,538,920,,
DL829,Design for Stage and Screen (Costume Design),817,1021,593,947,,
DL830,Design for Stage and Screen (Character Makeup Design),879,953,939,968,,
DL831,Design for Stage and Screen (Production Design),893,1073,781,1026,,
DL832,Animation,855,1055,920,1022,989  ,
DL833,Photography,636,791,667,854,671  ,671
DL834,Film and Television Production,933,1011,990,1040,,
DL835,Creative Media Technologies,237,289,,,,
DL836,Creative Computing                                 ,217,326,219,300,235   ,
DL837,New Media Studies,290,349,201,316,298   ,293
DL838,Creative Music Production                          ,746,873,754,972,713  ,
DL839,Interaction and User Experience Design             ,,,683,990,757  ,
DL840,Digital Marketing,,,228,327,210   ,
DL841,English and Equality Studies                       ,,,276,341,277   ,277
DL843,Film                                               ,,,,,987  ,874
DL844,Television                                         ,,,,,566  ,
DL845,Design for Film (degree options)                   ,,,,,628  ,
DN100,Architecture                                       ,473,509,510,541,555   ,
DN120,Landscape Architecture,353,403,407,453,463   ,435
DN130,City Planning and Environmental Policy             ,367,421,390,432,445   ,424
DN150,Engineering (Common Entry)                         ,511,554,520,565,565  ,
DN200,Science (options)                                  ,521,554,533,567,577   ,567
DN201,Computer Science (Common Entry),488,509,510,542,554   ,549
DN230,Actuarial and Financial Studies,577,589,601,613,613  ,613
DN240,Sustainability                                     ,,,440,498,510   ,
DN250,Agricultural Science (options),420,462,453,488,454   ,444
DN252,Dairy Business,398,428,410,455,,
DN253,Agri - Environmental Sciences,403,419,413,443,,
DN261,Food Science,434,467,476,495,531   ,
DN262,Human Nutrition,493,510,531,553,566   ,
DN271,Forestry,303,361,311,359,,
DN272,"Horticulture, Landscape and Sportsturf Management",252,312,282,378,,
DN300,Veterinary Medicine - Undergraduate Entry,567,589,589,602,601 ,
DN301,Veterinary Medicine - Graduate Entry,,,,,      ,
DN310,Veterinary Nursing,441,487,466,489,521   ,509
DN400,Medicine - Undergraduate Entry (HPAT required)     ,735,745,736,748,743 ,
DN401,Medicine - Graduate Entry (GAMSAT required),59,61,58,61,61  ,
DN410,Radiography,507,522,531,543,566  ,566
DN411,Radiography - Graduate Entry,,,,,     ,
DN420,Physiotherapy                                      ,542,555,568,589,601  ,601
DN425,Health and Performance Science                     ,488,509,507,521,544   ,543
DN430,Sport and Exercise Management                      ,436,455,433,455,484   ,476
DN440,"Biomedical, Health and Life Sciences",565,579,589,601,613  ,613
DN450,General Nursing,398,420,421,445,462  ,
DN451,Children`s and General Nursing (Integrated),462,499,499,529,533   ,
DN452,Midwifery,409,452,473,499,510   ,509
DN453,Mental Health Nursing,379,403,393,412,442   ,
DN520,Arts (Two Subjects),336,408,310,409,381   ,378
DN530,Humanities (options),348,411,326,419,397   ,388
DN541,Modern Languages (options)                         ,348,412,300,443,320   ,
DN600,Law (options),520,532,543,566,576   ,567
DN610,Business and Law                                   ,521,543,544,577,573   ,567
DN650,Commerce                                           ,498,510,521,543,555   ,
DN660,Commerce International (options),507,531,510,531,555   ,554
DN670,Economics and Finance,601,601,613,625,625  ,625
DN700,Social Sciences (options),388,441,418,466,475   ,474
DN710,Economics,476,488,498,510,534   ,532
DN720,Psychology,517,531,522,543,566   ,564
DN750,Social Policy and Sociology                        ,330,366,377,408,421   ,
DT001,Product Design,433,464,,,,
DT028,Transport Operations and Technology,279,348,,,,
DT035,Electrical Services and Energy Management,293,340,,,,
DT066,Engineering (General Entry),400,457,,,,
DT101,Architecture (test and interview),618,647,,,,
DT106,Planning and Environmental Management,312,337,,,,
DT110,Property Economics (Valuation Surveying),367,424,,,,
DT111,Quantity Surveying and Construction Economics,391,421,,,,
DT112,Geographic Science,287,335,,,,
DT117,Construction Management,356,373,,,,
DT175,Architectural Technology,388,425,,,,
DT201,Science (General Entry),464,477,,,,
DT203,Analytical Chemistry (Environmental Forensic and Pharmaceutical),341,403,,,,
DT204,Biomedical Science,501,512,,,,
DT205,Mathematical Sciences,315,363,,,,
DT206,Biomedical and Molecular Diagnostics,473,487,,,,
DT211,Computer Science (Infrastructure),381,414,,,,
DT220,Industrial Mathematics,300,317,,,,
DT221,Physics with Energy and Environment,348,436,,,,
DT222,Physics Technology,321,371,,,,
DT223,Human Nutrition and Dietetics,553,566,,,,
DT224,Optometry,487,529,,,,
DT225,Public Health Nutrition,440,476,,,,
DT227,Science with Nanotechnology,312,361,,,,
DT228,Computer Science,451,466,,,,
DT229,Clinical Measurement Science,491,509,,,,
DT235,Physics with Medical Physics and Bioengineering,357,403,,,,
DT282,Computer Science (International),377,402,,,,
DT299,Chemical Sciences with Medicinal Chemistry,420,445,,,,
DT302,Business Analytics,325,403,,,,
DT304,E-Commerce in Retailing,341,388,,,,
DT321,Business and Law,462,478,,,,
DT341,Marketing,400,419,,,,
DT343,Retail and Services Management,301,332,,,,
DT354,Business Computing,322,341,,,,
DT358,Logistics and Supply Chain Management,300,359,,,,
DT365,Business and Management,440,456,,,,
DT366,Accounting and Finance,432,454,,,,
DT398,Human Resource Management,375,388,,,,
DT399,Economics and Finance,437,465,,,,
DT401,International Hospitality Management,300,337,,,,
DT405,Culinary Science,308,377,,,,
DT407,Culinary Arts,271,342,,,,
DT412,Tourism Marketing,284,322,,,,
DT413,Event Management,356,389,,,,
DT416,Culinary Entrepreneurship,275,339,,,,
DT420,Nutraceuticals in Health and Nutrition,392,432,,,,
DT421,Food Innovation,321,366,,,,
DT422,Pharmaceutical Healthcare,397,423,,,,
DT491,Environmental Health,343,380,,,,
DT501,Music,383,520,,,,
DT504,Film and Broadcasting,443,467,,,,
DT506,Commercial Modern Music,468,835,,,,
DT508,Game Design,403,454,,,,
DT517,Languages and English Studies,326,419,,,,
DT518,Languages and International Tourism,307,357,,,,
DT529,Drama (Performance),371,519,,,,
DT532,Law (LL.B.),422,441,,,,
DT533,Contemporary Visual Culture,,,,,,
DT544,Interior Design,552,866,,,,
DT545,Design - Visual Communication,667,897,,,,
DT546,Fine Art,668,813,,,,
DT555,International Business and Languages,353,399,,,,
DT559,Photography,700,926,,,,
DT571,Social Care,394,424,,,,
DT572,Early Childhood Education,385,403,,,,
DT582,Journalism,347,373,,,,
DT596,Print Media Technology and Management,252,311,,,,
DT597,Creative and Cultural Industries,280,369,,,,
GA181,Accounting,303,378,309,403,303   ,
GA182,Business,290,347,287,347,285   ,
