LC281,Automobile Technology,208,
LC283,Precision Engineering,227,
LC284,"Agricultural Mechanisation at Salesian Agricultural College,Pallaskenry",200,
LC285,Mechanical Engineering,272,
LC286,Road Transport Technology and Management,264,
LC288,Mechanical Engineering,347,346
LC289,Precision Engineering,291,
LC290,Community Sport Development,188,
LC292,Social Care Work,367,
LC293,Business Studies with Travel and Tourism Management,307,
LC294,Business Studies with Event Management,279,
LC295,Business Studies with Sports Management,252,
LC297,Community Development,235,
LC320,Business,346,
LC330,Business with Computing,297,
LC336,Computing,207,
LC340,Interior Design,350,
LC362,Biotechnology and Biopharmaceutical Sciences,413,
LC371,Creative Broadcast and Film Production,309,
LC372,Music Technology and Production,325,
LC374,Renewable and Electrical Energy Engineering,318,
LC375,Industrial Automation and Robotic Systems,317,
LC376,Electronic Engineering,318,
LC380,Automotive Engineering and Transport Management,303,298
LC392,Business Studies in Beauty and Spa Management,236,
LC393,Early Childhood Education and Care,236,
LC398,Culinary Arts,163,
LC399,Hospitality Supervision,148,
LC401,Early Childhood Education and Care,297,
LC402,Social Care Work,225,
LC408,Environmental Science and Climate,279,
LC414,Data Analytics and Cyber Security,236,
LC415,Business,197,
LC416,Business,274,
LC418,Computing - Games Design and Development,270,
LC422,Sports Strength and Conditioning,298,
LC423,Sports Strength and Conditioning,157,
LC425,Environmental Science,278,
LC428,Environmental Science and Agriculture,278,
LC432,Early Childhood Education and Care,144,
LC434,Environmental Science and Agriculture,297,
LC502,Game Art and Design (portfolio),852,
LC504,Creative Media and Design,192,
LC517,Creative Media and Design,234,
LC518,Digital Animation Production (portfolio),808,
LC602,Social Care Work,260,
LC603,Early Childhood Education and Care,147,
LC605,Business,195,
LC612,Social Care Work,320,
LC613,Early Childhood Education and Care,242,
LM002,Arts,348,
LM020,Law and Accounting,465,
LM026,Performing Arts (audition required),303,
LM028,Criminal Justice,418,
LM029,Law Plus,490,
LM038,Psychology and Sociology,500,
LM039,Journalism and Digital Communication,402,
LM040,European Studies,369,
LM044,Applied Languages,442,
LM050,Business Studies (options),431,
LM056,International Business,528,
LM058,Financial Mathematics,403,
LM063,Technology Management,379,
LM068,Food Science and Health,421,
LM076,Product Design and Technology (portfolio required),408,
LM077,Aeronautical Engineering,520,
LM082,Construction Management and Engineering,398,
LM089,Sport and Exercise Sciences,474,
LM090,Physical Education with concurrent Teacher Education,532,
LM091,Languages with concurrent Teacher Education,517,
LM092,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),507,
LM093,Equine Science,339,
LM094,Materials and Architectural Technology with concurrent Teacher Education,440,
LM095,Materials and Engineering Technology with concurrent Teacher Education,367,
LM096,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),405,
LM097,Mathematics and Computer Science with concurrent Teacher Education,402,
LM099,Architecture (portfolio requirement suspended),498,
LM100,Physiotherapy,589,
LM101,Medicine  - Graduate Entry (GAMSAT required),55,
LM102,Psychology,509,
LM103,Paramedic Studies (B/C1/C1 Provisional Drivers Licence),392,
LM115,Chemical and Biochemical Engineering,454,
LM116,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),476,
LM118,Electronic and Computer Engineering,403,
LM121,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),351,
LM122,Creative Media and Interaction Design (Digital Design/Music Media Tech),327,
LM123,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),441,
LM124,Mathematics (Math Science/Maths and Physics/Economics and Maths),437,
LM125,Physics (Applied Physics or Mathematics & Physics),404,
LM150,General Nursing,475,
LM152,Mental Health Nursing,419,
LM154,Intellectual Disability Nursing,420,
LM156,Midwifery,469,
LM180,Equine Science,337,
LY107,Business - Common Entry,161,161
LY108,Business - Accounting,309,
LY118,Business,290,
LY206,Sports Studies,149,148
LY207,Law with Criminal Justice,160,160
LY208,Law,300,
LY228,Sports and Exercise - Common Entry,300,
LY317,Culinary Arts,229,224
LY327,Hospitality And Tourism - Common Entry,170,170
LY408,Design - Common Entry,320,
LY427,Digital Film and Video,172,170
LY437,Animation,198,223
LY447,Fashion with Promotion,266,279
LY457,Graphic and Digital Design,179,204
LY507,Quantity Surveying,181,181
LY508,Fire Safety Engineering,276,
LY518,Quantity Surveying,301,
LY527,Civil Engineering,165,163
LY528,Construction Management,271,
LY607,Electronic Engineering,160,
LY608,Mechanical Engineering,300,
LY617,Mechanical Engineering,180,180
LY618,Electronic Engineering,312,
LY707,Computer Games Development,204,
LY708,Applied Computing,306,
LY717,Computing,164,160
LY737,Computer Security and Digital Forensics,169,169
LY748,Computer Science,317,317
LY806,Pharmacy Technician,232,
LY816,Dental Nursing,233,223
LY817,Bioscience,248,
LY818,Science - Common Entry,303,
LY826,Health Science with Physiotherapy Studies,456,401
LY828,Agriculture - Common Entry,307,
LY836,Health Science with Occupational Therapy Studies,473,408
LY837,Food Science and Nutrition,194,194
LY846,Health Science with Dietetics Studies,316,316
LY847,Veterinary Nursing,367,367
LY867,Pharmaceutical & Medicinal Science,163,163
LY877,Agriculture,202,181
LY906,"Early Childhood Care, Health and Education",205,161
LY908,General Nursing,400,
LY916,Health and Social Care,181,
LY918,Psychiatric Nursing,357,
LY928,Intellectual Disability Nursing,326,
LY968,"Early Childhood Care, Health and Education",303,
LY978,Health & Social Care - Common Entry,280,
MH001,Education - Primary Teaching (Froebel),507,
MH002,Education - Primary Teaching - Gaeltacht Applicants (Froebel),,
MH101,Arts,318,
MH103,Music,#,
MH106,Psychology - 3 years,521,
MH107,Social Science,346,
MH109,Media Studies,316,
MH116,Community and Youth Work (Full-Time),#,
MH201,Science,360,
MH202,Biotechnology,455,
MH203,Biological and Geographical Sciences,430,
MH204,Physics with Astrophysics,422,
MH206,Theoretical Physics and Mathematics,510,
MH207,Data Science,445,
MH208,Biological and Biomedical Sciences,498,
MH209,Psychology (through Science) - 4 years,498,
MH210,Pharmaceutical and Biomedical Chemistry,487,
MH212,Science or Maths & Computer Science or Maths & Applied Maths (with Ed),422,
MH304,Engineering (Computer/Electronic/Communications),333,333
MH305,Product Design,357,
MH306,Robotics and Intelligent Devices,361,
MH401,Finance (options),357,
MH402,Quantitative Finance,476,
MH403,Accounting and Finance,422,
MH404,Business (options),430,
MH405,Equine Business,357,
MH407,Business and Accounting,420,
MH411,Entrepreneurship,371,
MH501,LLB Law - four year Single Major Law programme,473,
MH502,Law (options),451,
MH601,Computer Science through Arts (options),352,
MH602,Computer Science through Science (options),351,
MH603,Computational Thinking,532,
MH801,Early Childhood - Teaching and Learning (part-time),327,
MH802,"Community and Youth Work (part-time, in service)",#,#
MH803,"Local Studies/Community Studies (part-time, evening) - Mature Students",#,#
MI001,Contemporary & Applied Theatre Studies,375,
MI002,Arts,300,281
MI004,Education - Primary Teaching - International,577,
MI005,Education - Primary Teaching,495,
MI006,Education - Primary Teaching - Gaeltacht Applicants,456,
MI007,Early Childhood Care and Education,357,
MI008,Education and Psychology - Primary Teaching,588,
MI009,"Education, Business Studies and Accounting",402,
MI010,"Education, Business Studies and Religious Studies",368,
MI011,"Education, Gaeilge and Religious Studies",409,
MI012,"Education, Gaeilge and Business Studies",401,
MI013,"Education, Mathematics and Gaeilge",444,
MI014,"Education, Mathematics and Business Studies",434,
MU001,Theology and Arts,290,290
MU002,Theology,440,
NC003,Computing (Degree Award options),260,
NC005,Human Resource Management,300,
NC009,Business,300,
NC010,Psychology,400,
NC020,Marketing Practice,280,
NC022,Accounting and Finance,337,
NC023,Technology Management (with specialisations),261,
NC102,Computing,220,
NC103,Business,250,
NC104,Business Computing,243,
NM701,Montessori Education,187,
NM801,Montessori Education,220,
PC402,Arts and Humanities,200,121
PC404,Applied Social Studies - Professional Social Care,217,197
PC405,"Social, Political and Community Studies",253,216
PC410,Arts and Humanities (fulfils Teaching Council requirements),252,209
PC411,English and History (fulfils Teaching Council requirements),255,209
RC001,Medicine - Undergraduate Entry (HPAT required),733,
RC004,Physiotherapy,566,
RC005,Pharmacy,579,
RC101,Medicine - Graduate Entry (GAMSAT required),,
SG101,Business,160,160
SG102,Computing (Level 6 - General Entry),254,
SG131,Computing - Games Development,280,
SG134,Applied Sport with Business,215,
SG135,Business in Tourism with Event Management,187,
SG136,Computing - Software Development,272,
SG137,Computing (Computer Networks and Cloud Infrastructure),324,
SG138,Computing (Level 7 - General Entry),260,
SG141,Business,261,
SG142,Business in International Marketing and Languages (French),279,
SG144,Business in International Marketing and Languages (Spanish),270,
SG146,Accounting,309,
SG147,Sport with Business,307,
SG148,Tourism with Event Management,269,
SG231,Fine Art,449,449
SG232,Creative Design,273,
SG235,Performing Arts (Theatre Design),319,
SG236,Performing Arts (Acting),235,
SG241,Performing Arts,328,
SG242,Early Childhood Care and Education,279,
SG243,Social Care Practice,301,
SG244,Fine Art,505,
SG245,Creative Design,282,
SG246,Computing,290,
SG247,English and Psychology,309,
SG248,Sociology and Politics,281,
SG249,Writing and Literature,297,
SG250,Application Design and User Experience,412,
SG251,Computing (Smart Technologies),327,
SG252,Software Development,307,
SG253,Computer Networks and Cloud Infrastructure,324,
SG254,Writing and Literature Online,225,225
SG300,Engineering (General Entry),209,
SG302,Construction Economics,184,
SG308,Applied Construction Technology,171,
SG330,Engineering (General Entry),243,
SG331,Interior Architecture and Design,236,
SG332,Advanced Wood and Sustainable Building Technology,208,
SG333,Mechanical Engineering,216,
SG334,Mechatronic Engineering,290,
SG336,Precision Engineering and Design,309,
SG338,Civil Engineering,245,
SG339,Quantity Surveying,195,
SG342,Civil Engineering,415,
SG343,Quantity Surveying,311,
SG346,Construction Project Management and Applied Technology,291,
SG347,Architecture,360,
SG348,Interior Architecture and Design,316,
SG401,Science,209,209
SG404,Environmental Science with Ecology (Level 6),264,264
SG406,Health and Exercise Science,367,
SG431,Pharmaceutical Science with Drug Development,269,
SG433,Occupational Safety and Health,223,
SG434,Human Nutrition,280,
SG435,Health Science and Physiology,289,
SG436,Biomedical Science,262,
SG437,Forensic Investigation and Analysis,243,
SG439,Environmental Science with Ecology (Level 7),254,
SG442,Occupational Safety and Health,290,
SG443,Human Nutrition,356,
SG444,Science Undenominated,338,
SG445,Pharmaceutical Science with Drug Development,311,
SG447,Health Science and Physical Activity,328,
SG448,Forensic Investigation and Analysis,306,
SG449,Medical Biotechnology,341,
SG450,Environmental Science with Ecology (Level 8),300,
SG530,Health and Medical Information Science (Online),285,285
SG535,Business Administration,228,
SG536,Business,223,
SG537,Marketing and Sales,234,
TL620,Culinary Arts,189,189
TL651,Science (Biological and Environmental Studies),223,223
TL652,Pharmacy Technician,260,
TL701,"Animation, Visual Effects and Motion Design (Level 7)",228,
TL702,"TV, Radio and New Media (Level 7)",243,
TL710,Computing with Software Development,232,
TL711,Computing with Games Development,224,
TL715,Computing (Degree Award options),251,
TL716,Computer Systems and Networking,269,
TL731,Business (Major Specialism in: Acctng or Mktg or Mgmnt),219,
TL743,Agricultural Mechanisation,,
TL744,Agricultural Engineering,243,
TL745,Civil and Environmental Engineering,261,261
TL747,Engineering in Mechanical and Manufacturing Engineering,200,
TL748,Agricultural Science,249,
TL755,Pharmaceutical Science (Degree Award options),261,
TL758,Animal Bioscience,251,
TL771,Health and Leisure (Degree Award Options),208,
TL772,Health and Leisure with Massage,218,
TL773,Coaching and Sports Performance,106,106
TL780,Early Childhood Care and Education,234,
TL781,Social Care,225,
TL801,"Animation, Visual Effects and Motion Design (Level 8)",281,
TL802,"TV, Radio and New Media (Level 8)",325,
TL810,Computing with Software Development,310,
TL811,Computing with Games Development,358,
TL815,Computing (Degree Award options),308,
TL823,Event Management (3 year programme),299,
TL831,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),306,
TL844,Agricultural Engineering,300,
TL845,Civil Engineering,325,
TL847,Manufacturing Engineering,302,
TL848,Agricultural Science,308,
TL851,Wildlife Biology (Degree Award options),309,
TL855,Pharmaceutical Science (Degree Award options),317,
TL858,Veterinary Bioscience,308,
TL871,Health and Leisure (Degree Award options),300,
TL872,Health and Leisure with Massage,309,
TL873,Coaching and Sports Performance,289,
TL880,Early Childhood Care and Education,307,
TL881,Social Care,308,
TL889,Counselling with Addiction - Mature applicants only,,
TL890,General Nursing and Mature Applicants,440,414
TL891,Mental Health Nursing and Mature Applicants,389,378
TR002,Music,435,429
TR003,History,497,493
TR004,Law,566,565
TR005,Philosophy,442,
TR006,Psychology,567,555
TR007,Clinical Speech and Language Studies,529,
TR009,Music Education,420,
TR012,History and Political Science,555,554
TR015,"Philosophy, Political Science, Economics and Sociology",589,
TR016,Deaf Studies,340,
TR017,Law and Business,602,
TR018,Law and French,565,
TR019,Law and German,543,542
TR020,Law and Political Science,602,
TR021,"Classics, Ancient History and Archaeology",370,
TR022,Early and Modern Irish,398,
TR023,English Studies,487,476
TR024,European Studies,544,542
TR025,Drama and Theatre Studies,564,530
TR028,Ancient and Medieval History and Culture,342,
TR029,Political Science and Geography,526,520
TR031,Mathematics,531,
TR032,Engineering,510,509
TR033,Computer Science,509,
TR034,Management Science and Information Systems Studies,613,
TR035,Theoretical Physics,543,
TR038,Engineering with Management,532,
TR039,Computer Science and Language,454,424
TR040,Middle Eastern and European Languages and Cultures,466,
TR041,Religion,368,
TR042,Film,489,476
TR043,History of Art and Architecture,393,354
TR051,Medicine (HPAT required),735,734
TR052,Dental Science,613,613
TR053,Physiotherapy,566,566
TR054,Occupational Therapy,533,
TR055,Radiation Therapy,543,
TR056,Human Health and Disease,565,
TR060,Biological and Biomedical Sciences,543,543
TR061,Chemical Sciences,517,510
TR062,Geography and Geoscience,473,
TR063,Physical Sciences,498,498
TR072,Pharmacy,590,
TR080,Global Business,589,
TR081,"Business, Economic and Social Studies (BESS)",543,543
TR082,Computer Science and Business,555,
TR083,Sociology and Social Policy,498,487
TR084,Social Studies (Social Work),462,
TR085,Business Studies and French,540,531
TR086,Business Studies and German,509,499
TR087,Business Studies and Russian,474,465
TR089,Business Studies and Polish,444,424
TR090,Business Studies and Spanish,531,
TR091,General Nursing (Meath and St James`s),429,
TR093,General Nursing (Adelaide School of Nursing),430,429
TR095,Mental Health Nursing,408,
TR097,Intellectual Disability Nursing,396,
TR111,Ancient History and Archaeology/Geography,352,
TR112,Ancient History and Archaeology/History,529,
TR113,Ancient History and Archaeology/History of Art and Architecture,337,
TR114,Ancient History and Archaeology/Modern Language,337,
TR117,Ancient History and Archaeology/Religion,342,
TR166,Classical Civilisation/English Literature,498,496
TR173,Classical Civilisation/History of Art and Architecture,335,
TR177,Classical Civilisation/Modern Language,335,
TR179,Classical Civilisation/Philosophy,499,
TR198,Economics/Geography,534,
TR202,Economics/History,534,
TR207,Economics/Mathematics,566,
TR208,Economics/Modern Language,534,
TR209,Economics/Philosophy,534,
TR212,Economics/Sociology,534,
TR228,Classical Languages/English Literature,498,
TR231,Classical Languages/History of Art and Architecture,349,
TR233,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",349,
TR239,Classical Languages/Modern Language,349,
TR262,English Literature/History,529,
TR263,English Literature/History of Art and Architecture,498,497
TR269,English Literature/Philosophy,499,
TR272,English Literature/Sociology,498,
TR276,English Literature/Drama Studies,#498,
TR277,English Literature/Modern Language,498,495
TR311,Film/Drama Studies,#521,
TR312,Film/English Literature,521,
TR320,Film/Music,521,
TR322,Geography/History,529,
TR323,Drama Studies/Modern Language,#473,
TR324,Film/Modern Language,521,
TR325,Film/History,529,
TR326,Geography/Modern Language,352,
TR332,Geography/Sociology,498,496
TR443,History/History of Art and Architecture,529,
TR447,History/Modern Language,529,
TR449,History/Philosophy,529,
TR452,History/Sociology,529,
TR454,History/Religion,529,
TR455,History of Art and Architecture/Modern Language,334,
TR479,History of Art and Architecture/Philosophy,499,
TR547,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",337,
TR548,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",335,
TR554,"Middle Eastern,Jewish and Islamic Civilisations/History",529,
TR563,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",335,
TR564,"Middle Eastern,Jewish and Islamic Civilisations/Music",,
TR565,"Middle Eastern,Jewish and Islamic Civilisations/Religion",342,
TR597,Mathematics/Modern Language,566,
TR598,Mathematics/Music,566,
TR599,Mathematics/Philosophy,566,
TR629,Music/Philosophy,499,
TR635,Music/Drama Studies,#473,
TR636,Music/Modern Language,388,
TR638,Music/Religion,388,
TR639,Philosophy/Modern Language,499,
TR662,Philosophy/Sociology,499,
TR663,Religion/Classical Civilisation,342,
TR664,Religion/English Literature,498,
TR665,Religion/History of Art and Architecture,342,
TR666,Religion/Modern Language,,
TR667,French/Modern Language,403,
TR668,German/Modern Language,389,
TR669,Irish/Modern Language,368,
TR670,Italian/Modern Language,381,
TR671,Russian/Modern Language,332,
TR672,Spanish/Modern Language,336,
TR755,Sociology/Drama Studies,#498,
TR756,Sociology/Modern Language,498,495
TR801,Dental Nursing,436,419
TR802,Dental Hygiene,#543,#511
TR803,Dental Technology,#531,#486
TR911,Children`s and General Nursing (Integrated),511,510
TR913,Midwifery,478,477
TU601,Electronic Engineering,232,
TU602,Computer Engineering,223,
TU603,Mechanical Engineering,197,197
TU641,Bar and Restaurant Management,223,
TU642,Culinary Arts,153,
TU643,Culinary Arts (Professional Cookery Practice),236,
TU644,Food Management and Entrepreneurship,223,
TU645,Food Science and Management,241,
TU651,Applied Biology,205,196
TU652,Computing,194,
TU653,Computing (Information Technology),245,
TU654,Pharmacy Technician Studies,321,
TU655,Computing (Networking Technologies) Learn and Work,410,335
TU671,Business,226,
TU672,Business (Common entry),180,179
TU673,Business Management,300,
TU674,Business Studies,300,
TU675,Marketing,301,
TU676,Retail Management and Marketing,290,
TU701,Automation Engineering,260,
TU702,Biomedical Design,232,232
TU703,Building Engineering,260,
TU704,Civil Engineering,262,
TU705,Electrical and Control Engineering,243,
TU706,Electrical Services Engineering,244,
TU707,Electronic Engineering,224,224
TU708,Engineering (Common Entry with Award options),225,
TU709,Engineering (General Entry),370,
TU710,Engineering Reliability Management,244,
TU711,Mechatronic Engineering,223,
TU712,Sustainable Energy and Environmental Engineering,180,180
TU713,Computer Engineering,221,
TU714,Electronics and Communications Engineering,264,
TU715,Engineering Software,181,181
TU716,Networking Technology,241,
TU717,Mechanical Engineering,300,
TU718,Mechanical Engineering,198,198
TU719,"Design,Technology and Innovation",228,
TU720,Automotive Management and Technology,232,
TU721,Aviation Technology,350,
TU722,Process Instrumentation and Automation Learn and Work,292,292
TU731,"Auctioneering, Valuation and Estate Agency",290,
TU732,Timber Product Technology,253,198
TU735,Sports Management and Coaching,270,
TU736,Sports Science and Health,410,391
TU741,Baking and Pastry Arts Management,234,
TU742,Culinary Arts,155,155
TU745,Hospitality Management,245,
TU746,International Hospitality and Tourism Management,170,170
TU747,Tourism Management,242,
TU751,Biosciences,407,
TU752,DNA and Forensic Analysis,390,
TU754,Industrial and Environmental Physics,270,
TU755,Science (General Entry),361,
TU756,Computing,200,195
TU757,Computing (Information Technology),225,
TU758,Digital Forensics and Cyber Security,220,
TU759,Information Technology Management,211,
TU760,Bioanalysis,204,204
TU761,Ophthalmic Dispensing,302,
TU762,Medicinal Chemistry and Pharmaceutical Sciences,364,
TU763,Pharmaceutical Science,382,349
TU771,Business,224,
TU772,Business (Common Entry with Award options),AQA,227
TU774,Management,195,209
TU775,Accounting and Finance,260,
TU776,Accounting and Finance,182,175
TU777,Business and Information Technology,244,
TU778,International Business,224,
TU779,International Business,180,180
TU780,Advertising and Marketing Communications,179,179
TU781,Digital Marketing,220,
TU782,Digital Marketing,179,179
TU783,Marketing,189,189
TU791,Applied Social Studies in Social Care,320,
TU792,Community and Youth Development,101,250
TU793,Early Childhood Care and Education,220,
TU794,Early Childhood Care and Education,390,250
TU795,Visual Merchandising and Display,481,
TU796,Creative Digital Media,225,
TU801,Biomedical Design,235,
TU802,Electrical Services and Energy Management,317,300
TU803,Electronic Engineering,243,243
TU804,Engineering (Common Entry with Award options),271,
TU805,Engineering (General Entry),402,
TU806,Sustainable Energy Engineering,262,
TU807,Computer Engineering in Mobile Systems,276,
TU808,Engineering Software,260,260
TU809,Mechanical Engineering,235,
TU810,Mechatronic Engineering,270,
TU811,Product Design,411,
TU812,"Design,Technology and Innovation",270,
TU813,Automation Engineering,218,218
TU814,Transport Operations and Technology,285,251
TU831,Architectural Technology,410,
TU832,Architecture (Suitability Test and Interview),622,
TU833,Construction Management,367,
TU834,Geographic Science,288,
TU835,Planning and Environmental Management,313,
TU836,Property Economics (Valuation Surveying),401,
TU837,Quantity Surveying and Construction Economics,385,
TU851,Analytical Chemistry (Environmental Forensic and Pharmaceutical),349,
TU852,Chemical Sciences with Medicinal Chemistry,476,
TU854,Science (General Entry),476,
TU855,Science with Nanotechnology,331,319
TU856,Computer Science,476,
TU857,Computer Science (Infrastructure),391,
TU858,Computer Science (International),377,
TU859,Computing,217,234
TU860,Computing (Information Technology),260,
TU861,Computing with Language (French/German/Spanish),308,308
TU862,Computing with Data Analytics,226,226
TU863,Digital Forensics and Cyber Security,280,
TU864,DNA and Forensic Analysis,400,390
TU865,Computing with IT Management,226,
TU866,Biomedical and Molecular Diagnostics,487,
TU867,Biomedical Science,524,
TU868,Clinical Measurement Science,510,
TU869,Environmental Health,336,
TU870,Human Nutrition and Dietetics,578,
TU871,Optometry,509,
TU872,Public Health Nutrition,491,
TU873,Industrial Mathematics,250,250
TU874,Mathematical Sciences,341,
TU875,Pharmaceutical Healthcare,400,
TU876,Pharmaceutical Science,377,349
TU877,Physics Technology,308,
TU878,Physics with Energy and Environment,337,337
TU879,Physics with Medical Physics and Bioengineering,351,
TU880,Physics with Data Science,578,
TU881,Food Innovation,318,
TU882,Nutraceuticals in Health and Nutrition,397,
TU901,Business,270,
TU902,Business (Common Entry with Award options),271,
TU903,Business and Management,463,
TU904,Business and Law,462,
TU905,Economics and Finance,465,
TU906,Human Resource Management,395,
TU907,Logistics and Supply Chain Management,300,
TU908,Management,262,253
TU909,Accounting and Finance,285,
TU910,Accounting and Finance,444,
TU911,Accounting and Finance,209,192
TU912,Business Analytics,330,
TU913,Business and Information Technology,252,
TU914,Business Computing,324,
TU915,International Business,252,
TU916,International Business,235,235
TU917,Law (LLB ) with a Language,342,
TU918,Law (LLB),451,
TU919,Advertising and Marketing Communications,228,226
TU920,Digital Marketing,270,
TU921,Digital Marketing Technologies,212,212
TU922,Marketing,418,
TU923,Marketing Management,228,276
TU924,E-Commerce in Retailing,307,
TU925,Retail and Services Management,301,
TU935,Sports Management and Coaching,300,
TU936,Sports Science and Health,410,391
TU941,Botanical Cuisine,249,
TU942,Culinary Arts,212,212
TU943,Culinary Entrepreneurship,278,
TU944,Culinary Science,316,
TU951,International Hospitality and Tourism Management,184,184
TU952,International Hospitality Management,300,
TU953,Tourism and Digital Marketing,290,
TU954,Event Management,356,
TU955,Sports & Leisure Management,217,317
TU961,Commercial Modern Music,608,608
TU962,Drama (Performance),379,
TU963,Music,416,
TU965,International Business and Languages,356,346
TU966,Languages and English Studies,366,
TU967,Languages and International Tourism,308,
TU971,Contemporary Visual Culture,290,
TU972,Creative and Cultural Industries,281,
TU973,Design - Visual Communication,717,
TU974,Fine Art,709,563
TU975,Interior Design,632,
TU976,Photography,695,
TU981,Creative Digital Media,280,
TU982,Creative Digital Media,320,311
TU983,Film and Broadcasting,456,451
TU984,Game Design,381,
TU985,Journalism,322,
TU986,Print Media Technology and Management,289,
TU991,Applied Social Studies in Social Care,325,
TU992,Community and Youth Development,251,
TU993,Early Childhood Care and Education,270,
TU994,Early Childhood Care and Education,321,251
TU995,Early Childhood Education,367,
TU996,Social Care,400,
TU997,Applied Social Care,310,283
WD001,Applied Computing (options),260,260
WD002,Science (options),308,
WD003,Business,AQA,171
WD005,Health Sciences (options),280,
WD006,Exercise Sciences (options),280,
WD007,Engineering (options),288,288
WD010,Electronic Engineering,181,
WD011,Mechanical Engineering,198,
WD013,Legal Studies,177,
WD018,Applied Social Care,171,
WD019,Recreation and Sport Management,174,
WD025,Construction Management and Engineering,269,
WD027,Music,262,
WD048,Business (options),271,
WD076,Forestry,243,
WD084,Accounting,308,
WD091,Hospitality Management,228,
WD094,Architectural Technology,166,150
WD096,Horticulture (Waterford - Kildalton),260,
WD097,Horticulture (Dublin - National Botanic Gardens),AQA,
WD116,General Nursing,422,
WD117,Psychiatric Nursing,366,
WD120,Intellectual Disability Nursing,377,
WD126,Agriculture,327,
WD134,International Business,290,
WD137,Design (Visual Communications),271,
WD139,Civil Engineering,206,
WD140,Laws,280,
WD144,Architecture,284,
WD147,Pharmaceutical Science,293,
WD149,Early Childhood Studies,271,
WD150,Criminal Justice Studies,270,
WD151,Software Systems Development,AQA,AQA
WD152,Visual Art,AQA,
WD153,Multimedia Applications Development,163,
WD155,Information Technology,211,
WD159,Business,195,
WD161,Computer Forensics and Security,255,
WD162,Quantity Surveying,216,
WD163,Psychology,434,
WD164,Food Science with Business,309,
WD172,Culinary Arts,AQA,AQA
WD173,Hospitality Studies,AQA,
WD174,Tourism,AQA,
WD175,Pharmaceutical Science,226,
WD177,"Science (Mol. Biology with Biopharm.,Food Science with Business,Pharm.)",222,
WD182,Electrical Engineering,AQA,
WD184,Retail Management,163,
WD186,Sports Coaching and Performance,270,
WD187,Social Science,272,
WD188,Applied Health Care,201,
WD191,Agricultural Science,377,
WD192,Social Care Practice,270,
WD193,Marketing and Digital Media,271,
WD194,Culinary Arts,217,
WD195,Architectural and Building Information Modelling Technology,279,
WD200,Arts (options),AQA,AQA
WD205,Molecular Biology with Biopharmaceutical Science,228,
WD206,Electronic Engineering,179,
WD207,Mechanical Engineering,198,
WD208,Manufacturing Engineering,188,
WD210,Software Systems Development,279,
WD211,Creative Computing,271,
WD212,Recreation and Sport Management,270,
WD230,Mechanical and Manufacturing Engineering,253,
